State,AgencyType,AgencyName,AssaultOffenses,HomicideOffenses,KidnappingAbduction,SexOffenses,SexOffensesNonforcible,Arson,Bribery,BurglaryBreaking&Entering,CounterfeitingForgery,DestructionDamageVandalism,Embezzlement,ExtortionBlackmail,FraudOffenses,LarcenyTheftOffenses,Robbery,StolenPropertyOffenses,DrugNarcoticOffenses,GamblingOffenses,PornographyObsceneMaterial,ProstitutionOffenses,WeaponLawViolations,TotalOffences
ARKANSAS,Nonmetropolitan Counties,Ouachita,36.0,1.0,0.0,2.0,0.0,0.0,0.0,13.0,1.0,7.0,0.0,0.0,4.0,17.0,1.0,4.0,29.0,0.0,0.0,0.0,7.0,122.0
ARKANSAS,Nonmetropolitan Counties,Pike,162.0,1.0,6.0,4.0,0.0,5.0,0.0,87.0,16.0,76.0,0.0,0.0,10.0,157.0,1.0,9.0,39.0,0.0,4.0,0.0,17.0,594.0
ARKANSAS,Nonmetropolitan Counties,Polk,222.0,1.0,0.0,13.0,2.0,0.0,0.0,151.0,2.0,106.0,0.0,0.0,41.0,304.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,854.0
ARKANSAS,Nonmetropolitan Counties,Pope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0
ARKANSAS,Nonmetropolitan Counties,Prairie,29.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,1.0,7.0,0.0,0.0,1.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,98.0
ARKANSAS,Nonmetropolitan Counties,Randolph,51.0,0.0,0.0,1.0,0.0,1.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,27.0,0.0,1.0,23.0,0.0,0.0,0.0,4.0,136.0
ARKANSAS,Nonmetropolitan Counties,Searcy,66.0,0.0,0.0,3.0,0.0,0.0,0.0,67.0,4.0,46.0,0.0,0.0,14.0,137.0,0.0,1.0,24.0,0.0,0.0,0.0,4.0,366.0
ARKANSAS,Nonmetropolitan Counties,Sevier,161.0,1.0,0.0,1.0,0.0,3.0,0.0,96.0,2.0,49.0,0.0,0.0,9.0,270.0,7.0,4.0,16.0,0.0,0.0,0.0,2.0,621.0
ARKANSAS,Nonmetropolitan Counties,St. Francis,78.0,0.0,3.0,8.0,0.0,2.0,0.0,34.0,4.0,27.0,0.0,0.0,6.0,66.0,0.0,3.0,21.0,0.0,0.0,0.0,4.0,256.0
ARKANSAS,Nonmetropolitan Counties,Stone,164.0,0.0,1.0,7.0,0.0,0.0,0.0,91.0,16.0,65.0,0.0,0.0,20.0,286.0,7.0,0.0,4.0,0.0,0.0,0.0,3.0,664.0
ARKANSAS,Nonmetropolitan Counties,Union,125.0,1.0,2.0,7.0,0.0,4.0,0.0,30.0,10.0,40.0,0.0,0.0,26.0,180.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,441.0
ARKANSAS,Nonmetropolitan Counties,Van Buren,608.0,1.0,1.0,10.0,0.0,2.0,0.0,452.0,12.0,390.0,0.0,0.0,29.0,663.0,3.0,33.0,55.0,0.0,0.0,0.0,12.0,2271.0
ARKANSAS,Nonmetropolitan Counties,White,104.0,1.0,1.0,4.0,0.0,3.0,0.0,74.0,11.0,54.0,0.0,0.0,21.0,159.0,0.0,12.0,25.0,0.0,3.0,0.0,7.0,479.0
ARKANSAS,Nonmetropolitan Counties,Yell,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0
ARKANSAS,Other Agencies,Camp Robinson,498.0,0.0,19.0,97.0,7.0,20.0,1.0,381.0,92.0,893.0,0.0,4.0,423.0,2031.0,30.0,49.0,737.0,0.0,0.0,7.0,38.0,5327.0
COLORADO,Cities,Arvada,62.0,0.0,0.0,4.0,0.0,2.0,0.0,24.0,8.0,88.0,2.0,0.0,171.0,281.0,0.0,0.0,52.0,0.0,1.0,0.0,3.0,698.0
COLORADO,Cities,Aspen,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,22.0
COLORADO,Cities,Ault,4413.0,30.0,133.0,533.0,34.0,72.0,0.0,1782.0,322.0,3172.0,124.0,5.0,1495.0,7435.0,486.0,97.0,2448.0,1.0,39.0,135.0,542.0,23298.0
COLORADO,Cities,Aurora,38.0,1.0,1.0,10.0,0.0,1.0,0.0,9.0,5.0,51.0,0.0,0.0,28.0,88.0,0.0,1.0,134.0,0.0,0.0,0.0,4.0,371.0
COLORADO,Cities,Avon,24.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,23.0,1.0,0.0,4.0,33.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,101.0
COLORADO,Cities,Basalt,22.0,0.0,0.0,1.0,3.0,0.0,0.0,10.0,1.0,63.0,0.0,0.0,7.0,54.0,0.0,1.0,33.0,0.0,0.0,0.0,8.0,203.0
COLORADO,Cities,Berthoud,17.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,32.0,29.0,0.0,0.0,3.0,159.0,0.0,0.0,130.0,0.0,0.0,1.0,0.0,378.0
COLORADO,Cities,Black Hawk,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
COLORADO,Cities,Blue River,824.0,0.0,4.0,69.0,4.0,26.0,2.0,478.0,46.0,792.0,7.0,3.0,274.0,2371.0,48.0,43.0,472.0,0.0,10.0,0.0,46.0,5519.0
COLORADO,Cities,Boulder,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
COLORADO,Cities,Bow Mar,180.0,3.0,6.0,18.0,0.0,6.0,0.0,90.0,45.0,376.0,0.0,0.0,63.0,1080.0,6.0,8.0,521.0,1.0,4.0,1.0,22.0,2430.0
COLORADO,Cities,Broomfield,8.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,1.0,3.0,0.0,0.0,11.0,36.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,87.0
COLORADO,Cities,Brush,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,8.0
COLORADO,Cities,Buena Vista,49.0,0.0,0.0,4.0,0.0,0.0,1.0,10.0,1.0,52.0,1.0,0.0,12.0,59.0,0.0,0.0,21.0,0.0,1.0,1.0,1.0,213.0
COLORADO,Cities,Burlington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,22.0
COLORADO,Cities,Campo,322.0,0.0,6.0,66.0,2.0,4.0,0.0,74.0,19.0,244.0,0.0,0.0,70.0,478.0,4.0,3.0,163.0,0.0,10.0,0.0,16.0,1481.0
COLORADO,Cities,Canon City,44.0,0.0,0.0,4.0,1.0,0.0,0.0,21.0,1.0,49.0,0.0,0.0,6.0,122.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,254.0
COLORADO,Cities,Carbondale,247.0,1.0,17.0,32.0,4.0,7.0,0.0,102.0,27.0,286.0,2.0,1.0,165.0,620.0,7.0,1.0,229.0,0.0,5.0,0.0,19.0,1772.0
COLORADO,Cities,Castle Rock,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,22.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
COLORADO,Cities,Cedaredge,299.0,1.0,27.0,64.0,0.0,16.0,0.0,283.0,39.0,746.0,1.0,4.0,368.0,1119.0,33.0,11.0,287.0,0.0,1.0,3.0,28.0,3330.0
COLORADO,Cities,Centennial,42.0,0.0,5.0,0.0,0.0,1.0,0.0,16.0,2.0,32.0,2.0,0.0,7.0,31.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0,150.0
COLORADO,Cities,Center,6.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,2.0,34.0,0.0,0.0,19.0,66.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,162.0
COLORADO,Cities,Cherry Hills Village,3065.0,22.0,202.0,667.0,28.0,76.0,1.0,3553.0,664.0,6944.0,23.0,10.0,2561.0,12790.0,526.0,245.0,1595.0,0.0,68.0,44.0,507.0,33591.0
COLORADO,Cities,Colorado Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,12.0
COLORADO,Cities,Columbine Valley,384.0,7.0,20.0,54.0,8.0,6.0,0.0,281.0,49.0,728.0,17.0,0.0,183.0,1016.0,18.0,49.0,464.0,0.0,0.0,6.0,49.0,3339.0
COLORADO,Cities,Commerce City,111.0,0.0,0.0,5.0,0.0,0.0,0.0,18.0,0.0,143.0,0.0,0.0,0.0,265.0,3.0,0.0,15.0,0.0,0.0,0.0,4.0,564.0
COLORADO,Cities,Cortez,100.0,1.0,12.0,18.0,0.0,4.0,2.0,37.0,9.0,146.0,0.0,0.0,19.0,218.0,0.0,3.0,174.0,0.0,0.0,1.0,12.0,756.0
